archivo,dataset,entidad,pagina_fuente,url_descarga,licencia,fecha_descarga,nota
raw/idesc/pfp_ivc_organismos_accion_comunal.geojson,Organismos de acción comunal (JAC),Secretaría de Desarrollo Territorial y Participación Ciudadana,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=desarrollo_territorial_pc:pfp_ivc_organismos_accion_comunal&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa desarrollo_territorial_pc:pfp_ivc_organismos_accion_comunal"
raw/idesc/pmih_barrios_precarios.geojson,Barrios precarios (PMIH),Secretaría de Vivienda Social y Hábitat,https://idesc.cali.gov.co,https://ws-idesc.cali.gov.co/geoserver/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=vivienda:pmih_barrios_precarios&outputFormat=application/json&srsName=EPSG:4326,CC BY-SA,2026-09-25,"Servicio WFS de la IDESC, capa vivienda:pmih_barrios_precarios"
raw/cali_abiertos/escenarios_deportivos.csv,Escenarios Deportivos de Santiago de Cali (atributos),Secretaría del Deporte y la Recreación,https://datos.cali.gov.co/dataset/escenarios-deportivos-de-santiago-de-cali,https://datos.cali.gov.co/dataset/bcd91741-d1e7-4fd6-be0e-87a428cab94b/resource/de4a23e6-2440-47ec-bdc1-cac61c5f2ad8/download/escenarios-deportivos.csv,CC BY-SA,2026-09-25,"Codificación latin1, separador ;"
raw/cali_abiertos/organismos_socorro.csv,Ubicación de organismos de socorro y de la Secretaría de Gestión del Riesgo 2024,Secretaría de Gestión del Riesgo,https://datos.cali.gov.co/dataset/ubicacion-organismos-de-socorro-y-secretaria-de-gestion-de-riesgo-2024,https://datos.cali.gov.co/dataset/02c6222a-136d-41f1-9c62-efd580a5afcb/resource/0950db10-b61d-4bc8-ad2f-7be7868fad32/download/dato_7_ubicaciones_organismos_socorro.csv,CC BY,2026-09-25,Separador |
raw/cali_abiertos/plan_jarillon_intervenciones.csv,"Intervenciones del Plan Jarillón: demoliciones y liberación de áreas, 2014-2024",Secretaría de Gestión del Riesgo,https://datos.cali.gov.co/dataset/casas-demolidas-en-el-jarillon-de-cali-durante-el-periodo-2014-al-2024,https://datos.cali.gov.co/dataset/d643f5a3-edd3-449f-8c8f-0006d62e76e9/resource/f1bfcae7-89d2-4784-8bdf-0d3a1c5abf3b/download/dato_4_intervenciones_plan_jarillon.csv,CC BY-SA,2026-09-25,Separador |
raw/cali_abiertos/poblacion_comuna_2006_2020.csv,Proyecciones de población de Cali por comuna y corregimiento 2006-2020,DAPM,https://datos.cali.gov.co/dataset/proyecciones-de-poblacion-de-cali-por-comuna-y-corregimiento-2006-2020,https://datos.cali.gov.co/dataset/8fb07a43-4033-437e-8db0-e1474937ecae/resource/63f3e50e-0452-49cf-993d-08dfc2842cb4/download/proyecciones_de_poblaci_n_de_cali_por_comuna_y_corregimiento__2006-2020.csv,CC BY-SA,2026-09-25,Desactualizada: última proyección 2020
raw/cali_abiertos/estrato_moda_comuna_2015.csv,"Estratificación socioeconómica urbana por comunas, 2015",DAPM,https://datos.cali.gov.co/dataset/estratificacion-socioeconomica-urbana-por-comunas-en-cali-ano-2015,https://datos.cali.gov.co/dataset/89db273a-dcd0-459c-b995-621dbf1f94c9/resource/88f7450b-59d7-42f5-aaa3-010dbca9976b/download/estratificaci_n_socioecon_mica_urbana_por_comunas_en_cali_a_o_2015.csv,CC BY-SA,2026-09-25,
raw/sismo/EMSR916_AOI01_GRA_PRODUCT_v2.zip,"Copernicus EMS EMSR916 - AOI01 Northern Cali, evaluación de daños (GRA v2)",Copernicus Emergency Management Service (UE),https://rapidmapping.emergency.copernicus.eu/EMSR916/,https://rapidmapping.emergency.copernicus.eu/backend/EMSR916/AOI01/GRA_PRODUCT/EMSR916_AOI01_GRA_PRODUCT_v2.zip,Copernicus: uso libre con atribución,2026-09-25,Fotointerpretación; incluye un mapa en PDF
raw/sismo/EMSR916_AOI03_GRA_PRODUCT_v1.zip,"Copernicus EMS EMSR916 - AOI03 Cali Center, evaluación de daños (GRA v1)",Copernicus Emergency Management Service (UE),https://rapidmapping.emergency.copernicus.eu/EMSR916/,https://rapidmapping.emergency.copernicus.eu/backend/EMSR916/AOI03/GRA_PRODUCT/EMSR916_AOI03_GRA_PRODUCT_v1.zip,Copernicus: uso libre con atribución,2026-09-25,Fotointerpretación; incluye un mapa en PDF
raw/sismo/sertit_danos.csv,"Daños ICube-SERTIT / International Charter, AOI07 Cali (filtrado a Cali)","ICube-SERTIT (Univ. de Estrasburgo), vía monitor-terremoto-colombia",https://sertit.unistra.fr/cartographie-rapide/cartoaction/845/,https://raw.githubusercontent.com/18orkidea/monitor-terremoto-colombia/HEAD/data/dumps/sertit_danos.csv,Fuente primaria: atribución a ICube-SERTIT; el repositorio intermedio no declara licencia,2026-09-25,Vectores originales: data/documentos/sertit/CHARTER_CALL1202_ID1048_AOI07_COLOMBIA_CALI_IMPACTMAP_20260810_SCALE7500_A1_ICube-SERTIT_en_vectors.zip en https://github.com/18orkidea/monitor-terremoto-colombia
