paquete_sha,capa,idx,producto_id,municipio,departamento,dano,tipo,sensor,sensor_date,metodo,copyright,lat,lon,first_seen,snapshot_date
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,0,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.442325168000025,-76.54607044299996,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,1,3246,Cali,Valle del Cauca,Damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.440682929000047,-76.54225660799995,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,2,3246,Cali,Valle del Cauca,Damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.423272105000024,-76.54804870599997,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,3,3246,Cali,Valle del Cauca,Damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.422246763000032,-76.54713208199996,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,4,3246,Cali,Valle del Cauca,Damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.420181878000051,-76.54788939799994,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,5,3246,Cali,Valle del Cauca,Damaged,Transportation,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.41493138800007,-76.54908525899998,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,6,3246,Cali,Valle del Cauca,Destroyed,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.405564815000048,-76.54807802299996,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,7,3246,Cali,Valle del Cauca,Damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.407321377000073,-76.54919770199996,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,8,3246,Cali,Valle del Cauca,Destroyed,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.407316424000044,-76.54832643499998,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,9,3246,Cali,Valle del Cauca,Destroyed,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.396368609000035,-76.54791817499995,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,10,3246,Cali,Valle del Cauca,Damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.397628731000054,-76.54808763599993,2026-08-21T09:23:55Z,2026-09-25
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,11,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.432180010000025,-76.53730680699994,2026-08-21T09:23:55Z,2026-09-25
