Comuna;ID_BARRIO;Barrio;DIRECCION;ESCENARIO;Tipo Espacio;TIPO ESCENENARIO;EQUIPAMIENTO;PROGRAMAS SECRETARIA DE DEPORTE;GRAMA NATURAL;SINTETICA;MULTIPLE;BALONCESTO;VOLEIBOL;PISCINA ADULTOS;PISCINA NI�OS;JUEGOS INFANTILES;BIOSALUDABLES;PISTA PATINAJE;PISTA DE TROTE;PISTA BMX;TENIS;TEJO;HOCKEY;FUTSALA;MICROFUTB;VOLEY PLAYA
5;98;Torres De Comfandi;K 1C # 56 - 50;Polideportivo Torres De Comfandi;Abierto;POLIDEPORTIVO;2 Canchas Multiples- Biosaludables- Edificacion- Cancha Futbol 5- 2 Kioskos- Cancha Grama Natural- Pista De Trote;Carreras Y Caminatas- Deporvida- Canas Y Ganas- Cuerpo Y Espiritu;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
5;99;Villa Del Prado Sector 1;C 58 # 4A - 00;Parque Recreativo Villa Del Prado Sector 1;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;Cuerpo Y Espiritu;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Villa Del Prado Sector 1a;C 58 K4D;Parque Recreativo Villa Del Prado Sector 1a;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;No Tiene;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Villa Del Prado Sector 2;C 59 K 4D;Parque Recreativo Villa Del Prado Sector 2;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;No Tiene;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Santa Barbara;K  7  #  69 - 00;Cancha Multiple Ciudadela Santa Barbara;Abierto;CANCHA MULTIPLE;Cancha Multiple;No Tiene;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;99;Villas De Veracruz;K 1D  # 61 - 00;Cancha Multiple Villas De Veracruz;Abierto;CANCHA MULTIPLE;Cancha Multiple- Juegos Infantiles-;Deporvida (Futsala);0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Villas De Veracruz;K 1H BIS  # 61A - 00;Parque Recreativo Villas De Veracruz;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles- Pista De Trote;Deporvida (Futsala- Voleibol);0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
5;99;Villa Del Prado;K 3  # 58 - 00;Polideportivo Villa Del Prado;Cerrado;POLIDEPORTIVO;2 Canchas Multiples- Juegos Infantiles- Pista De Trote- Cancha De Tenis;Canas Y Ganas- Cuerpo Y Espiritu- Deporvida- Vertigo;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
5;99;Villa Del Prado Sector 3;K 4   #  59B - 00;Parque Recreativo Villa Del Prado Sector 3;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;Canas Y Ganas;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Villa Del Prado Sector 7;K 4A # 63 - 00;Parque Recreativo Villa Del Prado Sector 7;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;Cuerpo Y Espiritu (Voleibol- Rumba Deportiva);0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Villa Del Prado Sector 5;K 4B  # 60D - 00;Parque Recreativo Villa Del Prado Sector 5;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;Cuerpo Y Espiritu;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Villa Del Prado Sector 4;K 4D  # 59B - 00;Parque Recreativo Villa Del Prado Sector 4;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;Deporvida (Baloncesto);0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Villa Del Prado Sector 6;K 4D  # 61 - 00;Parque Recreativo Villa Del Prado Sector 6;Abierto;PARQUE RECREATIVO;Cancha Multiple- Pista De Trote;Deporvida (Futbol);0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
5;99;Villa Del Prado Sector 8;K 4D  # 62B - 00;Parque Recreativo Villa Del Prado Sector 8;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;Deporte Comunitario (Voleibol);0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Bajo Salomia;K 5  # 59 - 00;Parque Recreativo Bajo Salomia;Cerrado;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;Cuerpo Y Espiritu;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;99;Brisas Del Guabito;K 6  # 64 - 00;Polideportivo Brisas Del Guabito;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha Multiple;Deporvida- Vive El Parque;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;San Luis I;  K 1A12  #70 - 00;Parque Recreativo San Luis Crp;Cerrado;PARQUE RECREATIVO;2 Canchas De Grama Natural- Salon Multiple- 2 Canchas Sinteticas- Piscina Ninos- Piscina Adultos- Juegos Infantiles- Edificacion- Teatrino;Cali Integra;2;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
6;1;San Luis I;C 71  # 1A10 - 50;Cancha Sintetica Sintetica San Luis I;Cerrado;CANCHA ;Cancha Sintetica;Deporvida(Futbol)- Deporte Comunitario- Canas Y Ganas;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;San Luis I;K 1B2  # 71 - 00;Cancha De Futbol San Luis I;Cerrado;CANCHA ;Cancha Grama Natural;Deporvida (Futbol)- Deporte Comunitario;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;Jorge Eliecer Gaitan;K 1H # 73 - 00;Parque Longitudinal Separador Avenidad Ciudad De Cali;Abierto;SEPARADOR;Cancha Multiple- Cancha De Futbol 5;No Tiene;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;Jorge Eliecer Gaitan;K 2A # 70 - 00;Cancha De Futbol Jorge Eliecer Gaitan;Abierto;CANCHA ;Cancha Grama Natural;No Tiene;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;Jorge Eliecer Gaitan;K 2A # 73 - 00;Parque Recreativo  Jorge Eliecer Gaitan;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;No Tiene;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;3;Paso Del Comercio;DG 7 # 71 - 490;Cancha De Baloncesto Los Colores Paso Del Comercio;Cerrado;CANCHA ;Cancha De Baloncesto;No Tiene;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;3;Paso Del Comercio;K 1 # 71 - 00;Cancha Multiple Paso Del Comercio;Cerrado;CANCHA MULTIPLE;Cancha Multiple;Deporvida (Baloncesto)- Vertigo;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;3;Paso Del Comercio;K 2N # 71C - 00;Parque Recreativo Puente Del Comercio;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;No Tiene;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;4;Alcazares I;C 70A  # 1A3 - 00;Cancha De Futbol La  Papagayo;Cerrado;CANCHA ;Cancha Grama Natural;Deporvida(Futbol);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;4;Alcazares I;C 70A BIS # 1A3 - 00;Parque Infantil Los Alcazares;Abierto;PARQUE;Cancha Multiple-Juegos Infantiles;Canas Y Ganas;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;5;Petecuy I;K 1J # 78B1 - 00;Parque Recreativo Nuevo Sol;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles- Pista De Trote;Deporvida (Baloncesto)- Canas Y Ganas- Vive El Parque;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
